id;parent;type;name;shortName;shortcut;explanation;specs;aggregationType
986;389;binaryChoice;;;bc-finance-pojmy-zaklady;;;basic
987;390;binaryChoice;;;bc-finance-pojmy-produkty;;;basic
988;387;writtenAnswer;;;wa-slovni-penize-procenta;;;basic
989;420;writtenAnswer;;;wa-mala-nasobilka-cislo-2;;;basic
990;421;writtenAnswer;;;wa-mala-nasobilka-cislo-3;;;basic
991;422;writtenAnswer;;;wa-mala-nasobilka-cislo-4;;;basic
992;423;writtenAnswer;;;wa-mala-nasobilka-cislo-5;;;basic
993;424;writtenAnswer;;;wa-mala-nasobilka-cislo-6;;;basic
994;425;writtenAnswer;;;wa-mala-nasobilka-cislo-7;;;basic
995;426;writtenAnswer;;;wa-mala-nasobilka-cislo-8;;;basic
996;427;writtenAnswer;;;wa-mala-nasobilka-cislo-9;;;basic
997;428;writtenAnswer;;;wa-mala-nasobilka-cislo-10;;;basic
998;78;writtenAnswer;;;wa-soustava-rovnic-dosazovaci-metoda;;;basic
999;78;binaryChoice;;;bc-soustava-2-linearnich-rovnic;;;basic
1000;410;binaryChoice;;;bc-body-souradnice-v-rovine;;;basic
1001;410;writtenAnswer;;;wa-body-souradnice-v-rovine;;;basic
1002;415;binaryChoice;;;bc-vektory-delka;;;basic
1003;411;binaryChoice;;;bc-body-souradnice-v-prostoru;;;basic
1004;412;binaryChoice;;;bc-vzdalenost-bodu-v-rovine;;;basic
1005;411;writtenAnswer;;;wa-body-souradnice-v-prostoru;;;basic
1006;416;binaryChoice;;;bc-vektory-vzajemna-poloha;;;basic
1007;417;binaryChoice;;;bc-vektory-nasobeni-konstantou-soucet;;;basic
1008;418;binaryChoice;;;bc-vektory-skalarni-soucin;;;basic
1009;412;writtenAnswer;;;wa-vzdalenost-bodu-v-rovine;;;basic
1010;415;writtenAnswer;;;wa-delka-vektoru;;;basic
1011;419;writtenAnswer;;;wa-vektory-souradnice;;;basic
1012;416;writtenAnswer;;;wa-vektory-vzajemna-poloha;;;basic
1013;419;binaryChoice;;;bc-vektory-souradnice-2d;;;basic
1014;413;binaryChoice;;;bc-vzdalenost-bodu-v-prostoru;;;basic
1015;413;writtenAnswer;;;wa-vzdalenost-bodu-v-prostoru;;;basic
1016;418;writtenAnswer;;;wa-vektory-skalarni-soucin;;;basic
1017;436;binaryChoice;;;bc-primka-parametricka-rovnice;;;basic
1018;285;binaryChoice;;;bc-primka-pojmy-principy;;;basic
1019;437;binaryChoice;;;bc-primka-obecna-rovnice;;;basic
1020;439;binaryChoice;;;bc-polohove-ulohy-primka-bod;;;basic
1021;430;binaryChoice;;;bc-usecky-delka-v-rovine;;;basic
1022;438;binaryChoice;;;bc-primka-vzajemna-poloha-primek;;;basic
1023;430;writtenAnswer;;;wa-usecky-delka-v-rovine;;;basic
1024;285;binaryChoice;;;bc-urceni-primky;;;basic
1025;430;termDescription;;;td-delka-usecky;;;basic
